0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9
TIC 121865605,tic121865605,,,,,,,,,kepler1300,2massj19160792+4005127,kic4914566,koi2635,wisej191607.92+400512.8,,,
TIC 121865656,tic121865656,,,,,,,,,kepler103,2massj19155629+4003522,kic4914423,koi108,wisej191556.29+400352.2,,,
TIC 121943724,tic121943724,,,,,,,,,kepler92,2massj19162065+4133465,kic6196457,koi285,wisej191620.65+413346.7,,,
TIC 121943952,tic121943952,,,,,,,,,kepler1059,2massj19165285+4142233,kic6356207,koi2021,wisej191652.84+414223.2,,,
TIC 121946404,tic121946404,,,,,,,,,kepler1438,2massj19170955+4040540,kic5440317,koi3141,wisej191709.45+404054.2,,,
TIC 121988890,tic121988890,,,,,,,,,kepler687,2massj19171570+3909118,kic4049131,koi811,,,,
TIC 122062725,tic122062725,,,,,,,,,kepler1113,2massj19173761+3920198,kic4254466,koi2134,wisej191737.69+392019.8,,,
TIC 122063843,tic122063843,,,,,,,,,kepler629,2massj19174027+3956420,kic4827723,koi632,wisej191740.29+395642.2,,,
TIC 122063936,tic122063936,,,,,,,,,kepler1291,2massj19173048+4000041,kic4915638,koi2617,wisej191730.51+400003.6,,,
TIC 122065885,tic122065885,,,,,,,,,kepler1582,2massj19173039+4109311,kic5868793,koi4290,,,,
TIC 122066167,tic122066167,,,,,,,,,kepler1081,2massj19174668+4119039,kic6035124,koi2071,wisej191746.72+411904.7,,,
TIC 122066280,tic122066280,,,,,,,,,kepler927,2massj19173204+4123337,kic6034945,koi1683,wisej191732.03+412333.6,,,
TIC 122066949,tic122066949,,,,,,,,,kepler705,2massj19180203+4148436,kic6435936,koi854,wisej191802.04+414843.4,,,
TIC 122068161,tic122068161,,,,,,,,,kepler1688,2massj19181271+4117522,kic5953297,koi2733,wisej191812.71+411752.2,,,
TIC 122069243,tic122069243,,,,,,,,,kepler970,2massj19183005+4042314,kic5526527,koi1838,kepler970b,wisej191830.04+404231.4,,
TIC 122136712,tic122136712,,,,,,,,,kepler928,2massj19194097+4132341,kic6198999,koi1687,wisej191940.95+413233.9,,,
TIC 122137575,tic122137575,,,,,,,,,kepler1529,2massj19192897+4102266,kic5784777,koi3916,wisej191928.97+410226.7,,,
TIC 122139228,tic122139228,,,,,,,,,kepler1032,2massj19194340+4005519,kic4917596,koi1973,wisej191943.40+400551.9,,,
TIC 122224871,tic122224871,,,,,,,,,kepler788,2massj19200009+3832236,kic3438507,koi1204,wisej192000.11+383223.6,,,
TIC 122225232,tic122225232,,,,,,,,,kepler278,2massj19202572+3842080,kic3640905,koi1221,wisej192025.73+384208.1,,,
TIC 122293639,tic122293639,,,,,,,,,kepler887,2massj19202179+3949011,kic4741126,koi1534,wisej192021.78+394900.9,,,
TIC 122294985,tic122294985,,,,,,,,,kepler925,2massj19202556+4029263,kic5269467,koi1672,wisej192025.56+402926.1,,,
TIC 122297877,tic122297877,,,,,,,,,kepler269,2massj19205164+4146334,kic6359320,koi1127,wisej192051.63+414633.6,,,
TIC 122298422,tic122298422,,,,,,,,,kepler1506,2massj19203597+4127525,kic6118370,koi3458,wisej192035.97+412752.5,,,
TIC 122298563,tic122298563,,,,,,,,,kepler759,2massj19203156+4122534,kic6037187,koi1061,wisej192031.57+412253.4,,,
TIC 122298677,tic122298677,,,,,,,,,kepler336,2massj19205703+4119529,kic6037581,koi1916,wisej192057.02+411952.8,,,
TIC 122302031,tic122302031,,,,,,,,,kepler1609,2massj19203517+3939569,kic4556468,koi4491,,,,
TIC 122374620,tic122374620,,,,,,,,,kepler156,2massj19211116+3744581,kic2438264,koi440,wisej192111.15+374458.0,,,
TIC 122375047,tic122375047,,,,,,,,,kepler19,2massj19214099+3751064,gsc0313401549,kic2571238,koi84,tyc3134015491,wisej192141.02+375106.1,
TIC 122376177,tic122376177,,,,,,,,,kepler24,2massj19213918+3820375,kic3231341,koi1102,wisej192139.17+382037.3,,,
TIC 122441003,tic122441003,,,,,,,,,kepler109,2massj19213425+4017055,kic5094751,koi123,wisej192134.24+401705.6,,,
TIC 122441491,tic122441491,,,,,,,,,kepler425,2massj19212592+4034038,kic5357901,koi188,wisej192125.91+403403.8,,,
TIC 122442334,tic122442334,,,,,,,,,kepler1665,2massj19213508+4102242,kic5786676,koi650,wisej192135.06+410223.8,,,
TIC 122442545,tic122442545,,,,,,,,,kepler1318,2massj19213031+4109026,kic5871985,koi2703,,,,
TIC 122443195,tic122443195,,,,,,,,,kepler1205,2massj19210712+4130541,kic6200235,koi2350,wisej192107.07+413054.0,,,
TIC 122445076,tic122445076,,,,,,,,,kepler265,2massj19220251+4114413,kic5956342,koi1052,wisej192202.50+411441.0,,,
TIC 122446089,tic122446089,,,,,,,,,kepler545,2massj19221591+4041313,kic5444548,koi409,wisej192215.91+404131.5,,,
TIC 122446315,tic122446315,,,,,,,,,kepler53,2massj19215082+4033448,kic5358241,koi829,wisej192150.81+403344.9,,,
TIC 122447780,tic122447780,,,,,,,,,kepler628,2massj19214782+3951172,kic4742414,koi631,wisej192147.82+395117.3,,,
TIC 122447994,tic122447994,,,,,,,,,kepler824,2massj19215457+3943552,kic4650674,koi1341,wisej192154.57+394355.1,,,
TIC 122449752,tic122449752,,,,,,,,,kepler556,2massj19220706+3856335,kic3847138,koi444,wisej192207.06+385633.8,,,
TIC 122450088,tic122450088,,,,,,,,,kepler135,2massj19215883+3847437,kic3642289,koi301,wisej192158.82+384743.7,,,
TIC 122450207,tic122450207,,,,,,,,,kepler1410,2massj19220244+3844367,kic3642335,koi3010,wisej192202.44+384436.8,,,
TIC 122450762,tic122450762,,,,,,,,,kepler975,2massj19221165+3829430,kic3338885,koi1845,wisej192211.65+382942.9,,,
TIC 122451550,tic122451550,,,,,,,,,kepler1063,2massj19220642+3808347,kic2985767,koi2032,kepler1063a,wisej192206.41+380834.5,,
TIC 122507231,tic122507231,,,,,,,,,kepler1172,2massj19215388+3745597,kic2439243,koi2280,wisej192153.87+374559.6,,,
TIC 122515955,tic122515955,,,,,,,,,kepler746,2massj19224373+3721184,kic1865042,koi1002,wisej192243.73+372118.4,,,
TIC 122519154,tic122519154,,,,,,,,,kepler198,2massj19224155+3841276,kic3541946,koi624,wisej192241.55+384127.6,,,
TIC 122595516,tic122595516,,,,,,,,,kepler1330,2massj19221841+3957248,kic4831728,koi2739,wisej192218.40+395724.8,,,
TIC 122595850,tic122595850,,,,,,,,,kepler1225,2massj19223199+4008131,kic5007345,koi2406,wisej192231.98+400813.1,,,
TIC 122596334,tic122596334,,,,,,,,,kepler924,2massj19224044+4023517,kic5183357,koi1669,wisej192240.44+402351.8,,,
TIC 122596693,tic122596693,,,,,,,,,kepler428,2massj19221961+4034386,kic5358624,koi830,,,,
